,pergunta,alternativa_A,alternativa_B,alternativa_C,alternativa_D,categoria,correta
32,"Qual é a ideia principal do seguinte trecho? 'Many people believe that reading books is the best way to gain knowledge. However, others argue that practical experience is more valuable than theoretical learning.'",A importância da prática sobre a teoria.,A leitura é a única forma de aprender.,A experiência prática não é útil.,Livros são inúteis para adquirir conhecimento.,Compreensão de texto,A
33,Qual título seria mais apropriado para um texto que discute os benefícios da tecnologia na educação?,Os desafios da agricultura moderna,O impacto da tecnologia na aprendizagem,A evolução dos esportes olímpicos,Como cozinhar massas perfeitamente,Compreensão de texto,B
34,"Após ler o seguinte parágrafo, qual alternativa representa a conclusão mais lógica? 'John trained hard for months, waking up early every day and following a strict diet. On the day of the competition, he performed exceptionally well and won first place.'",John se arrependeu de ter treinado tanto.,John perdeu a competição.,O treinamento de John valeu a pena.,John decidiu parar de competir.,Compreensão de texto,C
35,"No trecho: 'Despite the rain, they decided to go for a walk.' O que a palavra 'Despite' indica?",Causa,Condição,Contraste,Tempo,Compreensão de texto,C
36,"Qual a melhor opção para substituir a expressão 'very tired' no trecho: 'After the marathon, he was very tired'?",Exhausted,Sleepy,Energetic,Hungry,Compreensão de texto,A
37,"Qual das frases melhor resume a seguinte passagem? 'The internet has changed the way people communicate, making it easier to stay in touch, share ideas, and access information.'",A internet tornou a comunicação mais difícil.,A internet facilitou a comunicação e o acesso à informação.,A internet impede as pessoas de se comunicarem corretamente.,A internet é uma ferramenta inútil para a comunicação.,Compreensão de texto,B
38,"Qual alternativa indica o tom do seguinte trecho? 'The author strongly criticizes the government's decision to cut education funding, arguing that it will have negative consequences for future generations.'",Neutro,Crítico,Otimista,Humorístico,Compreensão de texto,B
39,"O que pode ser inferido a partir da seguinte frase? 'By the time we arrived at the theater, the movie had already started.'",Eles chegaram antes do filme começar.,O filme já estava em andamento quando chegaram.,Eles perderam apenas o final do filme.,O filme ainda não havia começado quando chegaram.,Compreensão de texto,B
40,Qual das palavras a seguir melhor descreve o sentimento expresso na frase: 'She was thrilled when she received the good news'?,Angry,Excited,Confused,Sad,Compreensão de texto,B
41,Qual das alternativas abaixo melhor resume a ideia do trecho? 'Eating a balanced diet and exercising regularly are essential for maintaining good health.',Uma dieta balanceada e exercícios são importantes para a saúde.,Evitar exercícios pode melhorar a saúde.,Comer qualquer tipo de comida é suficiente para ser saudável.,Exercícios físicos são prejudiciais à saúde.,Compreensão de texto,A
42,"Qual é a mensagem principal do seguinte trecho? 'The rapid advancement of technology has led to many changes in the workplace, making tasks more efficient but also reducing the number of available jobs.'",A tecnologia não afeta o mercado de trabalho.,A tecnologia traz mais empregos para todos.,"A tecnologia melhora a eficiência, mas reduz empregos.",A tecnologia faz as tarefas mais difíceis e lentas.,Compreensão de texto,C
43,Qual título seria mais apropriado para um texto que discute o impacto do aquecimento global na biodiversidade?,Mudanças no clima e suas consequências ecológicas,A ascensão das novas tecnologias,O crescimento das populações urbanas,A preservação dos ecossistemas marinhos,Compreensão de texto,A
44,"Após ler o seguinte parágrafo, qual alternativa representa a conclusão mais lógica? 'Maria estudou intensamente para o exame, revisando suas anotações e resolvendo exercícios. Quando chegou o dia da prova, ela se sentiu confiante e preparada.'",Maria ficou nervosa durante o exame.,Maria não estudou o suficiente para o exame.,O estudo de Maria a ajudou a se sentir pronta para o exame.,Maria não conseguiu completar a prova.,Compreensão de texto,C
45,"No trecho: 'Although he was tired, he continued to work late into the night.' O que a palavra 'Although' indica?",Causa,Condição,Contraste,Tempo,Compreensão de texto,C
46,"Qual a melhor opção para substituir a expressão 'really hungry' no trecho: 'After the long hike, they were really hungry'?",Ravenous,Full,Energetic,Thirsty,Compreensão de texto,A
47,"Qual das frases melhor resume a seguinte passagem? 'Social media platforms have become a powerful tool for individuals and businesses alike, enabling faster communication and access to a global audience.'",As mídias sociais dificultam a comunicação.,As mídias sociais permitem uma comunicação mais rápida e global.,As mídias sociais são ineficazes para negócios.,As mídias sociais não têm impacto no comércio.,Compreensão de texto,B
